みつえ体験交流館 利用実績表 / Mitsue Experience Exchange Center — Usage Record

令和5年度 / FY2023 (Reiwa 5),,,,,,,,,,,,,Annual Total/年間合計
Month/月,4月/Apr,5月/May,6月/Jun,7月/Jul,8月/Aug,9月/Sep,10月/Oct,11月/Nov,12月/Dec,1月/Jan,2月/Feb,3月/Mar,
Event/Attendance,,,蛍イベント/Firefly Event: 130,関係人口/Related Pop.: 10,ツーリズムなら/Tourism Nara: 50,,雑巾ダッシュ/Zokin Dash: 250,伊勢本街道ウォーク/Ise Honkaido Walk: 100,,,,,
ECC,90,90,90,90,90,90,90,90,90,90,90,90,
Temp. Childcare/一時預かり,0,0,0,30,30,30,0,0,0,0,0,0,
Other Users/その他利用者数,6,5,10,20,120,30,2,5,15,10,15,15,
Subtotal/小計,96,95,230,150,290,150,342,195,105,100,105,105,1963

令和6年度 / FY2024 (Reiwa 6),,,,,,,,,,,,,Annual Total/年間合計
Month/月,4月/Apr,5月/May,6月/Jun,7月/Jul,8月/Aug,9月/Sep,10月/Oct,11月/Nov,12月/Dec,1月/Jan,2月/Feb,3月/Mar,
Event/Attendance,,ENNイベント/ENN Event: 20,,,,,雑巾ダッシュ/Zokin Dash: 500,,学校体験/School Experience: 20,ENNイベント/ENN Event: 10,,,
ECC,120,120,120,120,120,120,120,120,120,120,120,120,
Temp. Childcare/一時預かり,0,0,0,30,30,30,0,0,0,0,0,0,
Other Users/その他利用者数,0,10,10,20,20,30,30,5,35,10,15,15,
Subtotal/小計,120,150,130,170,170,180,650,125,175,140,135,135,2280

令和7年度 / FY2025 (Reiwa 7),,,,,,,,,,,,,Annual Total/年間合計
Month/月,4月/Apr,5月/May,6月/Jun,7月/Jul,8月/Aug,9月/Sep,10月/Oct,11月/Nov,12月/Dec,1月/Jan,2月/Feb,3月/Mar,
Event/Attendance,,,,観光探訪/Tourism Exploration: 40,,,雑巾ダッシュ/Zokin Dash: 300,,学校体験/School Experience: 20,ENNイベント/ENN Event: 10,,,
ECC,120,120,120,120,120,120,120,120,120,120,120,120,
Temp. Childcare/一時預かり,0,0,0,30,30,30,0,0,0,0,0,0,
Other Users/その他利用者数,0,10,10,20,20,30,30,5,35,10,15,15,
Subtotal/小計,120,130,130,210,170,180,450,125,175,140,135,135,2100

