Company,Year,Contract_Amount_Yen_APPROX,Bid_Method,Department,Project_Heading,File,Page,Reliability_Note
代表者北葛城郡広陵町村本建設株式会社,2020,100000000,入札,Construction,◎議案第２４号令和２年度御杖村一般会計補正予算,0209teireikaigijuroku,15,Amount is the largest yen figure found in the same speaker turn; may not always be the exact contract sum - verify against source PDF
構成員宇陀市榛原松塚建設株式会社,2020,100000000,入札,Construction,◎議案第２４号令和２年度御杖村一般会計補正予算,0209teireikaigijuroku,15,Amount is the largest yen figure found in the same speaker turn; may not always be the exact contract sum - verify against source PDF
うふとして村民にも馴染みのある有限会社,2022,,,Welfare,◎発委第６号閉会中の継続調査申出について（むらづくり委員会）,R4-12kaigiroku,7,Amount is the largest yen figure found in the same speaker turn; may not always be the exact contract sum - verify against source PDF
県尼崎市のクボタ環境エンジニアリング株式会社,2022,500000,,,◎発委第４号閉会中の継続調査申出について（むらづくり委員会）,R4-6kaigiroku,5,Amount is the largest yen figure found in the same speaker turn; may not always be the exact contract sum - verify against source PDF
山市矢田町７７１株式会社,2022,90635600,入札,,◎議案第１８号菅野体育館・公民館耐震改修工事に伴う,R4-6kaigiroku,9,Amount is the largest yen figure found in the same speaker turn; may not always be the exact contract sum - verify against source PDF
松塚建設株式会社,2023,80000,,Construction,◎議案第３９号神末レクリェーション体育館耐震改修工事に伴う,R5-11kaigiroku,3,Amount is the largest yen figure found in the same speaker turn; may not always be the exact contract sum - verify against source PDF
大阪市北区梅田３丁目３番５号大和ハウス工業株式会社,2023,7180000,随意契約,Construction,◎議案第２６号単身者集合住宅建設工事に伴う工事請負契約の,R5-6kaigiroku,12,Amount is the largest yen figure found in the same speaker turn; may not always be the exact contract sum - verify against source PDF
奈良県宇陀市榛原福地６１０番地の１松塚建設株式会社,2023,6307000,入札,Construction,◎議案第２７号桃俣地区公衆トイレ整備工事に伴う工事請負契約,R5-6kaigiroku,13,Amount is the largest yen figure found in the same speaker turn; may not always be the exact contract sum - verify against source PDF
宇陀市榛原福地６１０番地の１松塚建設株式会社,2023,61380000,入札,Construction,◎議案第２９号神末レクリェーシュン体育館耐震改修工事に伴う,R5-6kaigiroku,15,Amount is the largest yen figure found in the same speaker turn; may not always be the exact contract sum - verify against source PDF
松塚建設株式会社,2023,61380000,入札,Construction,◎議案第２９号神末レクリェーシュン体育館耐震改修工事に伴う,R5-6kaigiroku,15,Amount is the largest yen figure found in the same speaker turn; may not always be the exact contract sum - verify against source PDF
日野自動車株式会社,2023,80000,入札,,◎議案第３４号スクールバス購入契約の締結について,R5-9kaigiroku,16,Amount is the largest yen figure found in the same speaker turn; may not always be the exact contract sum - verify against source PDF
いすゞ自動車近畿株式会社,2025,34536360,,,◎発委第６号閉会中の継続調査申出について（むらづくり委員会）,R7dai3kaiteireikaikaigiroku,6,Amount is the largest yen figure found in the same speaker turn; may not always be the exact contract sum - verify against source PDF
