file,year,line_no,keyword,context
0209teireikaigijuroku,2020,41,予算,補正予算(第５号)）[上程、説明、質疑、付託] ・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・ －11－
0209teireikaigijuroku,2020,41,補正予算,補正予算(第５号)）[上程、説明、質疑、付託] ・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・ －11－
0209teireikaigijuroku,2020,44,契約,◎議案第２３号、御杖村小中学校統合施設整備工事に伴う工事請負契約の締結について
0209teireikaigijuroku,2020,44,工事,◎議案第２３号、御杖村小中学校統合施設整備工事に伴う工事請負契約の締結について
0209teireikaigijuroku,2020,47,予算,◎議案第２４号、令和２年度御杖村一般会計補正予算（第６号）の議定について
0209teireikaigijuroku,2020,47,補正予算,◎議案第２４号、令和２年度御杖村一般会計補正予算（第６号）の議定について
0209teireikaigijuroku,2020,49,予算,◎議案第２５号、令和２年度御杖村簡易水道事業特別会計補正予算(第１号)の議定について
0209teireikaigijuroku,2020,49,補正予算,◎議案第２５号、令和２年度御杖村簡易水道事業特別会計補正予算(第１号)の議定について
0209teireikaigijuroku,2020,51,予算,◎議案第２６号、令和２年度御杖村国民健康保険特別会計補正予算(第３号)の議定について
0209teireikaigijuroku,2020,51,補正予算,◎議案第２６号、令和２年度御杖村国民健康保険特別会計補正予算(第３号)の議定について
0209teireikaigijuroku,2020,53,予算,◎議案第２７号、令和２年度御杖村介護保険特別会計補正予算(第２号)の議定について
0209teireikaigijuroku,2020,53,補正予算,◎議案第２７号、令和２年度御杖村介護保険特別会計補正予算(第２号)の議定について
0209teireikaigijuroku,2020,55,予算,◎議案第２８号、令和２年度御杖村後期高齢者医療特別会計補正予算(第１号)の議定について
0209teireikaigijuroku,2020,55,補正予算,◎議案第２８号、令和２年度御杖村後期高齢者医療特別会計補正予算(第１号)の議定について
0209teireikaigijuroku,2020,57,決算,◎認定第１号、令和元年度御杖村一般会計歳入歳出決算の認定について
0209teireikaigijuroku,2020,59,決算,◎認定第２号、令和元年度御杖村簡易水道事業特別会計歳入歳出決算の認定について
0209teireikaigijuroku,2020,61,決算,◎認定第３号、令和元年度御杖村国民健康保険特別会計歳入歳出決算の認定について
0209teireikaigijuroku,2020,63,決算,◎認定第４号、令和元年度御杖村介護保険特別会計歳入歳出決算の認定について
