Date,Meeting,Agenda,Department,Yen_Amount,Type,Speaker,Nakashima_Role,Notes,Source_File,Page
2020,0209teireikaigijuroku,◎発委第６号、閉会中の継続調査申出について（むらづくり委員会） ［上程・採決］ ・・・・・ －40－,,,"予算,決算,補正予算",委員長(木村忠雄君),,それでは、８月１８日に開催いたしました議会運営委員会の会議 結果について、報告をいたします。当日は、全委員出席のもと、９月定例会の運営につ いて協議を行いました。 －４－ まず、会期及び会期中の日程について協議をおこない、会期を、９月３日から１５日ま での１３日間とし、全員協議会を４日、むらづくり委員会を９日、予算決算委員会を１０ 日、続会議を１５日とそれぞれ決定し、いずれも午前１０時の開会といた,0209teireikaigijuroku,4
2020,0209teireikaigijuroku,◎発委第６号、閉会中の継続調査申出について（むらづくり委員会） ［上程・採決］ ・・・・・ －40－,,837000,"予算,工事,繰越,補正予算",議長(山岡隆良君),,山崎議員、ご苦労様でした。    ◎諸般の報告（東宇陀環境衛生組合議会）   ○議長（山岡隆良君） ：次に７月１５日開催されました東宇陀環境衛生組合議会臨時会の報告 を求めます。派遣議員、古川芳明君。 ○２番（古川芳明君） ：はい、２番古川。 ○議長（山岡隆良君） ：古川議員。 ○２番（古川芳明君） ：それでは、令和２年度東宇陀環境衛生組合議会臨時会の会議結果につ いて報告申し上げます。去る７月１,0209teireikaigijuroku,5
2020,0209teireikaigijuroku,◎発委第６号、閉会中の継続調査申出について（むらづくり委員会） ［上程・採決］ ・・・・・ －40－,,300000000,"予算,基金,決算,補正予算",村長(伊藤収宜君),,本日、御杖村議会 9 月定例会を招集いたしましたところ、全議員の 出席を賜り誠にありがとうございます。開会日に際し、時間をいただいておりますの で、私のほうから行政報告をさせていただきます。 6 月定例会におきましても、新型コロナウイルス感染症の影響により、多くの行事が 中止又は規模縮小となっていることをお伝えしましたが、いまだに感染の拡大は止まら ず、7 月の中旬以降は、緊急事態宣言時である 4,0209teireikaigijuroku,7
2020,0209teireikaigijuroku,◎承認第１０号専決処分の承認を求めることについて,,,"予算,補正予算",議長(山岡隆良君),,ただ今、趣旨説明をいただきましたので、これから質疑を行います。 質疑は、ございませんか。 （「質疑なし」の声あり） ○議長（山岡隆良君） ：質疑なしと認めます。これで、質疑を終わります。これより、討論を 行います。討論はありませんか。 （「討論なし」の声あり） ○議長（山岡隆良君） ：討論なしと認めます。これで、討論を終わります。これより、本案に ついて採決を行います。日程第６発議第２号を原案のと,0209teireikaigijuroku,10
2020,0209teireikaigijuroku,◎議案第２２号御杖村過疎地域自立促進計画の変更について,,1300000,"予算,決算,補正予算",議長(山岡隆良君),,"次に、日程第７承認第１０号専決処分の承認を求めることについて、 令和２年度御杖村一般会計補正予算第５号を議題と致します。本案について、提案理由 の説明を求めます。伊藤村長。 ○村長（伊藤収宜君） ：議長。 ○議長（山岡隆良君） ：伊藤村長。 ○村長（伊藤収宜君） ：本案につきましては、歳入歳出それぞれに 1,130 万円を追加し、補 正後の総額を 26 億 8,114 万 4 千円とするものでござ",0209teireikaigijuroku,11
2020,0209teireikaigijuroku,◎議案第２２号御杖村過疎地域自立促進計画の変更について,,,予算,村長(伊藤収宜君),,本案につきましては、本年度の当初予算に計上し議決をいただき ました事業の内、過疎対策事業債の充当を予定している事業につきまして、奈良県と の事前協議を終えましたので、それに伴い必要となる過疎計画の変更について議決を お願いするものです。よろしくお願いします。 ○議長（山岡隆良君） ：ただ今、提案理由の説明をいただきましたので、これから総括的質疑 を行います。質疑はございませんか。 （「質疑なし」の,0209teireikaigijuroku,11
2020,0209teireikaigijuroku,◎議案第２３号御杖村小中学校統合施設整備工事に,,,"契約,工事",議長(山岡隆良君),,質疑なしと認めます。これで、質疑を終わります。本案については、 全員協議会で詳細な説明を受け、むらづくり委員会に付託することにしたいと思います。 ご異議ありませんか。 （「異議なし」の声あり） ○議長（山岡隆良君） ：異議なしと認めます。したがって、日程第８議案第２２号御杖村過疎 地域自立促進計画の変更については、むらづくり委員会に付託することに決定しました。   ◎議案第２３号御杖村小中学校統合,0209teireikaigijuroku,11
2020,0209teireikaigijuroku,◎議案第２３号御杖村小中学校統合施設整備工事に,Education,,"取得,契約,工事,財産",村長(伊藤収宜君),,"本案につきましては、議会の議決に付すべき契約及び財産の取得 又は処分に関する条例第 2 条の規定に定める予定価格 5,000 万円以上の工事請負契約 に該当することから、地方自治法第 96 条第 1 項第 5 号の規定により、議会の議決を 求めるものでございます。契約の内容につきましては、教育次長が説明いたします。 ○教育委員会次長（中村康幸君） ：はい、議長。 ○議長（山岡隆良君） ：中村教育委",0209teireikaigijuroku,12
2020,0209teireikaigijuroku,◎議案第２４号令和２年度御杖村一般会計補正予算,Construction,100000000,"予算,入札,基金,契約,工事,繰越,補正予算",教育委員会次長(中村康幸君),,この契約につきましては、御杖村小中学校統合施設整備 工事を 8 月 25 日に一般競争入札を行った結果、契約金額税込 8 億 8 千万円で、村本・ 松塚特定建設工事共同企業体、代表者北葛城郡広陵町村本建設株式会社奈良本店、常務 執行役員本店長髙田幸伸、構成員宇陀市榛原松塚建設株式会社、代表取締役井上清利と 工事請負契約を締結するものであります。 高額の契約案件でございますので、入札の経緯につきまし,0209teireikaigijuroku,15
2020,0209teireikaigijuroku,◎議案第２５号令和２年度御杖村簡易水道事業特別,Water/Sewer,,"予算,決算,補正予算",議長(山岡隆良君),,質疑なしと認めます。これで、質疑を終わります。本案については、 全員協議会で詳細な説明を受け、予算決算委員会に付託することにしたいと思います。 ご異議ありませんか。 （「異議なし」の声あり） ○議長（山岡隆良君） ：異議なしと認めます。したがって、日程第１０議案第２４号令和２年 度御杖村一般会計補正予算第６号の議定については、予算決算委員会に付託することに 決定しました。   ◎議案第２５号令和２,0209teireikaigijuroku,16
