file,year,page,role,topic,money_yen,why_spoke,text_excerpt
2026gikaikaigiroku3gatsu,2026,24,副村長 (Vice Mayor),◎議案第２０号令和８年度御杖村一般会計予算の議定について,,other/responding,議長。
2026gikaikaigiroku3gatsu,2026,26,副村長 (Vice Mayor),◎議案第２０号令和８年度御杖村一般会計予算の議定について,1305000000,explaining,令和８年度御杖村一般会計予算の概要について、ご説明申し上げます。 村長の施政方針に続きまして、説明要旨及び説明資料の６ページをご覧ください。こちらの表は、 本村の令和８年度全会計の予算案総括表となっています。区分、一般会計の欄をご覧ください。 予算額２６億５，３００万円で、前年度に比べ３，８００百万円、１．４％の減額となります。７ページを ご覧ください。この表につきましては、一般会計の歳入を款の区分で記載しているものです。款の 区分で金額の大きいもの、すなわち構成比率が高いものについて、令和８年度予算額、構成比、 ７年度との比較と主な内容について申し上げます。先ず、１０の地方交付税、１３億５０
R2-11kaigiroku,2020,2,総務課長 (General Affairs Chief),◎議案第２９号･御杖村議会議員の報酬等に関する条例の一部を改正する条例の制,,other/responding,議長。
R2-11kaigiroku,2020,2,総務課長 (General Affairs Chief),◎議案第２９号･御杖村議会議員の報酬等に関する条例の一部を改正する条例の,,explaining,本年度の人事院勧告については、期末手当支給月数を年間 0.05 引き 下げるというものです。各条例における支給月数の改定内容は、議案第 29 号の議会議員及び 議案第 30 号の常勤特別職については、本年度の１２月支給分を 100 分の 170 から 100 分の 165 にすることにより 0.05 引き下げます。来年度は、６月及び１２月の支給分を 167.5 として、2 回の支給で 0.05 引き下げます。 また、議案第３１号の一般職及び議案第３２号のパートタイム会計年度任用職員については、 １２月支給分を 100 分の 130 から 100 分の 125 に、来年度の６月及び１２月の支給分
R3-12kaigiroku,2021,11,総務課長 (General Affairs Chief),◎議案第３７号デジタル社会の形成を図るための関係法律の,,other/responding,はい。
R3-12kaigiroku,2021,12,総務課長 (General Affairs Chief),◎議案第３７号デジタル社会の形成を図るための関係法律の,,explaining,ご説明申し上げます。村長の提案理由の中でございました、全庁的な見 直しについてですが、議決が必要となります条例から村長が定めます要綱や規則、さらには窓口 の手続き等で使用される様式等について、これまで押印が必要とされてきた行政手続につきまし －12－ て、現在全庁的に見直しを進めているところでございます。お手元の議案をご覧ください。全庁的 な見直しの一環で、条例につきましては、次の３つの条例について改正を行いたく、本改正条例 により一括してご提案するものでございます。先ず、一つ目の第１条でございますが御杖村職員の 服務の宣誓に関する条例です。新たに職員となった者は、宣誓書を朗読し、署名押印しな
R3-12kaigiroku,2021,12,総務課長 (General Affairs Chief),◎議案第３７号デジタル社会の形成を図るための関係法律の,,other/responding,どういう条例かという内容でございますが。よく住民がしていただく中には、 火災とまぎらわしい行為というものがございます。それと火入れの許可に関する申込書というものが ございます。この二つがございます。先ず、今質問から外れるんですけども、火災とまぎらわしい行 為につきましては、住民さんが何か片付けものをして本来一般廃棄物を燃やすのはちょっとまず いですけども何か燃やす必要があったと、火事として勘違いされやすいものにつきましては、消防 署の方に届け出なさいということがございます。それとは別に、この火入れの許可につきましては、 主に山林の地焼けでございますとか山に近いところで物を燃やす場合は、火入れの
R3-3kaigiroku,2021,17,総務課長 (General Affairs Chief),◎議案第１０号奈良県市町村総合事務組合を組織する地方,,other/responding,議長。
R3-3kaigiroku,2021,17,総務課長 (General Affairs Chief),◎議案第１０号奈良県市町村総合事務組合を組織する地方,,explaining,本案につきましては、構成する地方公共団体のうち、令和３年３月３１日 をもって葛城広域行政事務組合が解散され、本組合を組織する地方公共団体でなくなることと なります。このため組織する団体の数が減少することとなり規約の一部改正が必要となります。 地方自治法第２８６条第１項の規定に基づき、奈良県知事に許可を申請するにあたり、同法第２ ９０条の規定に基づき議決を求めるものです。以上、提案説明とさせていただきます。
R3-5kaigiroku,2021,2,総務課長 (General Affairs Chief),◎同意第５号御杖村監査委員の選任につき同意を求めることについて[採決] ・・・・・・・・・・・ －９－,,other/responding,中嶋です。よろしくお願いします。
