code,section,title,first_page
1-1,,1 Feel Inochi,5
1-2,1,People with intellectual disabilities possess unique and,13
1-3,1,"In today’s world, the value of Inochi is increasingly reduced",19
2-1,1,2 Protect Inochi,25
2-2,2,“Civic space” refers to the social environment and oppor-,29
2-3,2,Among the various social challenges,33
2-4,2,Humanity has spent a long-time shaping today’s living envi-,37
2-5,2,"The theme of the Expo 2025 Osaka, Kansai is “Designing",44
3-1,2,Declaration 3-1,50
3-2,3,Declaration 3-2,55
3-3,3,Declaration 3-3,62
3-4,3,Declaration 3-4,68
4-1,3,Declaration 4-1,73
4-2,4,Declaration 4-2,82
4-3,4,"By 2050, Japan’s population is projected to fall below 100",86
4-4,4,How can we realize a society where every Inochi unleashes,94
4-5,4,Which of the following statements feels more accurate to,99
4-6,4,Global environmental issues typically fall into two broad,106
5-1,4,Declaration 5-1,114
5-2,5,Declaration 5-2,119
5-3,5,Declaration 5-3,124
5-4,5,Declaration 5-4,132
