id,section,declaration,first_page,title
1-1-1,1,1-1,5,"Through art, let us bond with the very origin of Inochi. Let us draw forth the quiet voices within our hearts, let them resonate with one another, and spread a spirit of cherishing Ino- chi throughout the world. The Inochi Orchestra was held at the EXPO Hall, with 6,000 attendees"
1-1-2,1,1-1,6,"Believing in the “power of song”, establish hubs where every child who loves singing can regularly experience music in their own communities, and enable more children to cultivate the strength to live. Wakayama Children's Choir Kōyasan International Children’s Chorus Festival"
1-1-3,1,1-1,7,"Nurture Inochi through the creation of music together, and strive to build a peaceful and inclusive society where everyone can live freely, creatively, and harmoniously regardless of upbringing or ability. Finale at the International Exchange Summer Camp hosted by the Korean government, held in Pyeongchang, South Korea in August 2025. A total of 200 members—com- prising orchestras, choirs, and dance teams—from South Korea, Japan, Thailand, and Malaysia participated in the finale"
1-1-4,1,1-1,8,"Enjoy the rhythm, dance together, and feel the pulse of Inochi—transcending nationalities, ethnicities, cultures, and religions. Spread a circle of empathy and our hopes for peace throughout the world. Everything that lives and breathes, let this song reach them, reach them, let it spread out Let’s weave the words of Inochi, let’s sing the song of Inochi Where the dance of life emerges here today It bonds everyone, and bridges world to world Feel it here together, Inochi Bon Bon NOW!"
1-1-5,1,1-1,10,"Build spaces where everyone can attune their ears to the voices of Inochi resonating through art across generations, deepening their understanding of Inochi. Listen intently to the voice of the work through dialogue"
1-1-6,1,1-1,11,"Regard 2025 as a turning point for civilization on Earth and strive to build a sustainable so- ciety in harmony with nature, where everyone can feel happiness, by applying the creativity and imagination nurtured through art to society. Study: Osaka Kansai International Art Festival 2025, Chapter 2, Reflections on People and Life (Osaka Culture Centre, Tempozan), Exhibition view of ‘Reshaped Reality: 50 Years of Hyperrealist Sculpture’ Study: Osaka Kansai International Art Festival 2025, Chapter 1: An Invitation to a Diverse World (Expo 2025 Osaka, Kansai) ‘EXPO PUBLIC ART’ Teppei Kaneuji, ‘Hard Boiled Daydream (Sculpture / Spook / Osaka)’"
1-2-1,1,1-2,13,"Build friendships across intellectual disabilities and create a world where everyone can truly be themselves. Declaration 1-2 Feel the pain of those facing hardship and adversity, expand the circle of empa- thy, and create a society that leaves no one behind. Interactions at the L’Arche Kana no ie"
1-2-2,1,1-2,14,"From the perspective of Human Healthcare, let us empathize with the lives and concerns of patients and people with disabilities. Let us support one another in realizing the full potential of each individual’s given Inochi, enabling everyone to fully live their own lives with dignity. ・L’Arche International website https://www.larche.org/ [Action Platform] Medical and Welfare [SDGs] The world “nanacara” aims to realize"
1-2-3,1,1-2,15,"Act to create a world where everyone can enjoy fashion—regardless of disability, gender, age, or nationality. sense of purpose—fostering mutual understanding and sup- port. By 2026, Knock on the Door plans to build an innova- tion ecosystem where patients and healthcare professionals co-create transformative solutions on a shared platform. The Inochi Forum, in collaboration with such organizations, seeks to return to the origins of “Human Healthcare”. It will work to weave together patients, families, healthcare pro- viders, and caregivers into a support network that protects Inochi and helps every person face illness while living their given life in wellness and dignity. [References] ・Eisai Co., Ltd. https://www.eisai.co.jp ・Knock on the Door, Inc. https://knockonthedoor.jp/en/ [Action Platform] Medical and Welfare [SDGs] Photo A Photo C Photo D Photo E Photo B"
1-2-4,1,1-2,16,"Respecting diversity and embracing those who feel isolated or left behind is not always easy to achieve together. That’s why we must open our hearts and create the rules of soci- ety together—collectively and inclusively. From a welfare, medical, and fashion standpoint, the associ- ation is now working to design exciting and uplifting adult diapers. On June 24, 2025, at the EXPO Hall of the Expo 2025 Osaka, Kansai, the association hosted a fashion show titled “O-MU-TSU WORLD EXPO: Future Diaper Collection” with adult diapers as the featured items—sending a mes- sage to the world on behalf of those whose voices are rarely heard. Since the Expo, the association has been working to transform perceptions around diapers, catalyze global conversation, and drive meaningful societal change. The Inochi Forum will also work hand-in-hand with people around the world to build a society where everyone, includ- ing those with disabilities or toileting difficulties, can enjoy fashion without shame or limitation. [References] ・More than 13 million people in Japan are estimated to experi- ence urinary incontinence (defined as occurring once a week or more). Source: “Guidelines on Female Lower Urinary Tract Symptoms” (2019) https://www.urol.or.jp/lib/files/other/guideline/38_woman_low- er-urinary_v2.pdf ・More than 5 million people in Japan are estimated to experience fecal incontinence (defined as once a month or more). Source: “Definition and Epidemiology of Fecal Incontinence” by Toshiki Ajimura, Clinical Surgery, Vol. 79(3), 2017 ・Prevalence of fecal incontinence: 7.5% for people aged 65+, 4% for people aged 20–64 ・Weekly urinary incontinence: 13.24 million people (Men: 4.86 million, Women: 8.38 million) Urge incontinence: Men 2.02M, Women 3.77M Stress incontinence: Men 0.82M, Women 4.61M ・Daily urinary incontinence: 6.12 million people (Men: 1.68 million, Women: 4.44 million) Urge incontinence: Men 1.24M, Women 2.19M Stress incontinence: Men 0.44M, Women 2.25M ・Japan Welfare Medical Fashion Association: https://wel-fashion.jp/about/ [Action Platform] Medical and Welfare [SDGs] Fashion show at the Expo 2025 Osaka, Kansai Photo: Kohei Oka"
