page,near_item,url
6,1-1-1,https://www.feelandsense.co/
6,1-1-1,https://inochiworldproject.com
7,1-1-2,https://wajido.jimdofree.com/
7,1-1-2,https://koyasan-chorus-festival.jimdosite.com/
8,1-1-3,https://www.laphil.com/press/releases/1672
8,1-1-3,https://dornsife.usc.edu/bci/brain-and-music-program/
8,1-1-3,https://www.elsistemajapan.org
9,1-1-4,https://www.jica.go.jp/overseas/america/plaza/aip.html
10,1-1-4,https://courtauld.ac.uk/about-us/
10,1-1-4,https://www.artic.edu/about-us
10,1-1-4,https://ohara-art-foundation.jp/service_category/service_catego-
12,1-1-6,https://osaka-kansai.art/
12,1-1-6,https://osaka-kansai.art/pages/summary#organization
12,1-1-6,https://www.artlogue.org/
13,1-1-6,http://larchekananoie.blog.fc2.com/
14,1-2-2,https://www.larche.org/
15,1-2-3,https://www.eisai.co.jp
15,1-2-3,https://knockonthedoor.jp/en/
16,1-2-4,https://www.urol.or.jp/lib/files/other/guideline/38_woman_low-
16,1-2-4,https://wel-fashion.jp/about/
17,1-2-5,https://www.city.osaka.lg.jp/shimin/page/0000431477.html
18,1-2-5,https://aeon.co/essays/japans-radical-alterna-
18,1-2-5,https://www.moj.go.jp/kyousei1/kyousei08_00128.html
18,1-2-5,https://www.thetransmitter.org/spectrum/au-
18,1-2-5,https://www.rcast.u-tokyo.ac.jp/ja/news/release/20230803
18,1-2-5,https://rctportal.mhlw.go.jp/detail/um?trial_
20,1-3-2,https://www.zen20.jp/
21,1-3-3,https://www.yuricadesign.com/
21,1-3-3,https://oniwa.garden/ougo-honjin-kobe/
21,1-3-3,https://www.expo2025.or.jp/wp/wp-content/up-
21,1-3-3,https://architecturephoto.net/209559/
21,1-3-3,https://www.expo2025.or.jp/news/news-20240530-05/
21,1-3-3,https://note.com/studio_mikke555/n/needbae4bcabe
21,1-3-3,https://www.studioon.site/
21,1-3-3,https://www.shinkogeisha.com/
22,1-3-3,https://umebachien.jp/works/g7%e5%87%ba%e5%b1%95/
22,1-3-3,https://x.gd/Znnxg
24,1-3-4,https://es.global/ja/japanese-frontpage/
26,2-1-1,https://www.jica.go.jp/jica_ri/index.html
27,2-1-2,https://www.terra-r.jp/
27,2-1-2,https://www.unicef.org/protection/children-associated-with-
27,2-1-2,http://www.icbl.org/en-gb/finish-the-job/landmine-monitor.aspx
27,2-1-2,https://www.un.org/peacebuilding/
28,2-1-3,https://accept-int.org
28,2-1-3,https://gt4y.org
28,2-1-3,https://www.unic.or.jp/links/ngo/
29,2-1-3,https://monitor.civicus.org/about/how-it-works/ratings/
30,2-2-1,https://www.forus-international.org/en/
30,2-2-1,https://ada2030.org/index.php
30,2-2-1,https://www.mofa.go.jp/mofaj/gaiko/oda/sdgs/
30,2-2-1,https://monitor.civicus.org/
31,2-2-3,https://www.decidim.barcelona/
31,2-2-3,https://www.decidim.barcelona/
31,2-2-3,https://www.participate.nyc.gov/
31,2-2-3,https://kakogawa.diycities.jp/
31,2-2-3,https://inochi-forum.makeour.city/
31,2-2-3,https://www.un.org/en/content/digital-cooperation-roadmap/
32,2-2-3,https://www.digital.go.jp/policies/trust/trustedweb
32,2-2-3,https://www.digital.go.jp/policies/dfft
32,2-2-3,https://www.ctc-g.co.jp/company/release/20240802-01772
32,2-2-3,https://openid.net/
32,2-2-3,https://sidi-hub.community/
34,2-3-2,https://phasefree.or.jp
34,2-3-2,https://map.respect-relief.net/
35,2-3-3,https://map.respect-relief.net/
35,2-3-3,https://www.ssi.osaka-u.ac.jp/activity/joint/disasterprevention/
35,2-3-3,https://riccc.or.jp/
35,2-3-3,https://ir.library.osaka-u.ac.jp/repo/ouka/all/100624/
36,2-3-3,https://new-pod.otri.osaka-u.ac.jp
36,2-3-3,https://senri-platform.org/senrimatsuri/
36,2-3-3,https://xtech.nikkei.com/atcl/nxt/column/18/00142/02215/
38,2-4-1,https://www.stockholmresilience.org/research/plane-
38,2-4-1,https://doi.org/10.1016/j.scs.2025.106356
38,2-4-1,https://www.pref.osaka.lg.jp/o060020/tokku_suishin2/orden/
38,2-4-1,https://otri.osaka-u.ac.jp/dichild/
38,2-4-1,http://www.comy.cmc.osaka-u.ac.jp/
38,2-4-1,https://see.eng.osaka-u.ac.jp/seeue/seeue/paper
38,2-4-1,https://www.jst.go.jp/sip/sems/
39,2-4-3,https://www.tkfd.or.jp/research/detail.php?id=4388
39,2-4-3,https://www.nature.com/articles/s44221-024-00338-y
40,2-4-3,https://www.env.go.jp/recycle/plastic/circulation.html
40,2-4-3,https://www.ssi.osaka-u.ac.jp/activity/core/zero_plastic_waste/
42,2-4-4,https://www.city.osaka.lg.jp/kankyo/page/0000288460.html
42,2-4-4,https://www.city.osaka.lg.jp/kankyo/page/0000480794.html
42,2-4-4,https://www.city.osaka.lg.jp/kankyo/page/0000288460.html
42,2-4-4,https://www.city.osaka.lg.jp/kankyo/page/0000480794.html
42,2-4-4,https://gec.jp/jp/
43,2-4-5,https://ajass.jp/Sympo/2023/2hayashi.pdf
43,2-4-5,https://www.env.go.jp/policy/hakusyo/r05/html/hj23010101
43,2-4-5,http://www.jaf.gr.jp/faq.html
45,2-5-2,https://www.nakanoshima-qross.jp/
46,2-5-2,https://www.jstage.jst.go.jp/article/jsapmeet-
46,2-5-2,https://resou.osaka-u.ac.jp/ja/research/2019/20191218_3
46,2-5-2,https://www.youtube.com/watch?v=0iZ0j34TRmE
46,2-5-2,https://www.jst.go.jp/moonshot/program/goal9/97_kikuchi
47,2-5-4,http://www.juf.eng.osaka-u.ac.jp/resilience/index.htm
47,2-5-4,https://www.eng.osaka-u.ac.jp/prospective/introduction-re-
48,2-5-4,https://informatics.bmj.com/content/30/1/e100784
48,2-5-4,https://www.milliman.com/en/insight/ai-and-predictiveanalyt-
48,2-5-4,https://www.ssi.osaka-u.ac.jp/activity/core/sciencehumanity/
49,2-5-5,http://alagille.jp/
49,2-5-5,https://rddjapan.info/
49,2-5-5,https://knockonthedoor.jp/en/
51,3-1-1,https://www.plan-international.jp/
52,3-1-2,https://www.weforum.org/publications/global-gender-gap-re-
52,3-1-2,https://documents1.worldbank.org/curated/
52,3-1-2,https://www.researchgate.net/publication/357270826_Impact_
52,3-1-2,https://www.jen-npo.org/
53,3-1-3,https://www.castalia.co.jp/home
54,3-1-4,https://www.mhlw.go.jp/toukei/saikin/hw/k-tyosa/k-tyosa22/
54,3-1-4,https://youngcarer.jp/report/
54,3-1-4,https://www.mext.go.jp/content/20241031-mxt_
56,3-2-1,https://www.cfa.go.jp/policies/kodomo-kihon
56,3-2-1,https://www.ssi.osaka-u.ac.jp/activity/core/public_knowledge/
56,3-2-1,https://www.ssi.osaka-u.ac.jp/activity/other/japano-
56,3-2-1,https://www.ssi.osaka-u.ac.jp/activity/salon/5thssisympo-
57,3-2-2,https://www.pref.osaka.lg.jp/o180080/shochugakko/wakudoki/
57,3-2-2,https://www.expo2025.or.jp/overview/education/
58,3-2-2,https://shorturl.at/lyjKe
59,3-2-3,https://recovery.preventionweb.net/ja/the-citizens-guide-to-
59,3-2-3,https://doi.org/10.1016/S2468-
59,3-2-3,https://doi.org/10.1080
60,3-2-4,https://www.shapenewworld.com/
60,3-2-4,https://www.ssi.osaka-u.ac.jp/activity/joint/future-society-de-
60,3-2-4,https://www.globalshapers.org/home
61,3-2-5,https://www.kodomo-museum.jp/
63,3-3-2,https://kankyoshimin.org
63,3-3-2,https://kankyoshimin.org/activity/life-style/green-consumer/
63,3-3-2,https://kankyoshimin.org/jizoku-selfcheck/
63,3-3-2,https://cnrc.jp
63,3-3-2,https://cnrc.jp/works/business-ethical-rating/
63,3-3-2,https://guricho.net
64,3-3-3,https://www.ssi.osaka-u.ac.jp/activity/core/empathyeconomy/
65,3-3-4,https://www.muji.com/jp/ja/shop/045781/articles/events-and-
65,3-3-4,https://sotokoto-online.jp/sustainability/3195
65,3-3-4,https://www.diariolibre.com/revista/cultura/2023/12/27/artis-
65,3-3-4,https://www.jica.go.jp/overseas/america/pla-
65,3-3-4,https://m.n.com.do/2024/10/31/la-jica-dona-uniformes-pa-
65,3-3-4,https://www.asahi.com/withplanet/article/15726032
66,3-3-4,https://x.gd/w1KEb
66,3-3-4,https://www.j-sdsc.org/
66,3-3-4,https://impact-consortium.fsa.go.jp/
67,3-3-4,https://currency.eumo.co.jp
67,3-3-4,https://eumoacademy.com/
67,3-3-4,https://www.tanimachi-social.com/
69,3-4-2,https://commonbeat.org/
70,3-4-3,https://www.continuum.social/
70,3-4-3,https://a16zcrypto.com/posts/article/reputation-based-systems/
70,3-4-3,https://a16zcrypto.com/posts/article/the-future-of-work-daos-
70,3-4-3,https://www.hbs.edu/faculty/Pages/profile.aspx?facId=500905
71,3-4-4,https://www.mhlw.go.jp/file/05-Shin-
71,3-4-4,https://www.city.osaka.lg.jp/toshiseibi/page/0000255852
71,3-4-4,https://www.city.osaka.lg.jp/nishinari/page/0000601001.html
71,3-4-4,https://nice.ne.jp/
72,3-4-4,https://mimamoriai.net/
72,3-4-4,https://oralhistory.columbia.edu/blog-posts/people/for-the-com-
72,3-4-4,https://wayback.archive-t.org/14173/20200910171016/http://
74,4-1-1,https://www.minpaku.ac.jp/exhibition/permanent/video-
74,4-1-1,https://www.minpaku.ac.jp/
75,4-1-2,https://expo2025-kuragepj.com/
75,4-1-2,https://future-earth-school.com/
75,4-1-2,https://steam-band.com/gomi-festival3/
75,4-1-2,https://steam-band.com/mnb2/
75,4-1-2,https://www.cledepeau-beaute.com/jp/powerofradi-
76,4-1-2,https://www.csonj.org/infoarchive/publication/infoarchive-pub-
76,4-1-2,https://note.com/schr/n/n1ff166f1e26d
78,4-1-4,https://www.cfa.go.jp/laws/kodomo-kihon-iken
78,4-1-4,https://www.asahi
78,4-1-4,https://kyonin.hus.osaka-u.ac.jp/report/next-
79,4-1-5,https://www.edgeson-management.jp/
79,4-1-5,https://prtimes.jp/main/html/rd/p/000000505.000006682.html
80,4-1-6,https://youtu.be/avEMxm7foS4
80,4-1-6,https://x.gd/wMAOD
81,4-1-7,https://organization.adnjapan.org/en/about/
81,4-1-7,https://www.linkedin.com/company/africa-diaspora-network-ja-
83,4-2-2,https://www.harunomemorial.jp/
83,4-2-2,https://www.mofa.go.jp/mofaj/fp/hr_ha/page22_003059.html
83,4-2-2,https://weconnectinternational.org/
84,4-2-3,https://washdata.org/monitoring/menstrual-health
84,4-2-3,https://mew.hus.osaka-u.ac.jp/
84,4-2-3,https://www.di.osaka-u.ac.jp/dispenser-list/
85,4-2-3,https://www.hosei.ac.jp/press/info/article-20231027123950/
85,4-2-3,https://nijibridge.jp/report/
85,4-2-3,https://pridecenter.jp/
85,4-2-3,http://www.nijiirodiversity.jp/
86,4-2-3,https://musubie.org/
87,4-3-2,https://musubie.org/news/11208/
87,4-3-2,https://musubie.org/news/10414/
88,4-3-3,https://www.dreampossibility.com/
89,4-3-4,https://www.philanthropy.or.jp/
89,4-3-4,https://www.philanthropy.or.jp/noufuku/adopted/
90,4-3-4,https://www.montessoricarejapan.com/mocamaison
90,4-3-4,https://www.montessoricarejapan.com/
92,4-3-5,https://niyokatsu.com/
92,4-3-5,https://www.niyokatsufes.com/orangelympic
93,4-3-6,https://ou-unescochair-ghe.org/
93,4-3-6,https://mew.hus.osaka-u.ac.jp/
93,4-3-6,https://cmc-osaka.com/
93,4-3-6,https://en.aide.osaka.jp/
95,4-4-1,https://www.jica.go.jp/jica_ri/research/environ-
95,4-4-1,https://www.jica.go.jp/jica_ri/publication/booksandre-
