issue_number,date,reason
320,2003-09-01,no_gikaidayori_heading_found
321,2003-10-01,no_gikaidayori_heading_found
325,2004-02-01,no_gikaidayori_heading_found
328,2004-05-01,no_gikaidayori_heading_found
331,2004-08-01,no_gikaidayori_heading_found
336,2005-01-01,no_gikaidayori_heading_found
337,2005-02-01,no_gikaidayori_heading_found
338,2005-03-01,no_gikaidayori_heading_found
340,2005-05-01,no_gikaidayori_heading_found
342,2005-07-31,no_gikaidayori_heading_found
344,2005-09-30,no_gikaidayori_heading_found
346,2005-11-30,no_gikaidayori_heading_found
348,2006-01-31,no_gikaidayori_heading_found
351,2006-04-30,no_gikaidayori_heading_found
352,2006-05-31,no_gikaidayori_heading_found
354,2006-07-31,no_gikaidayori_heading_found
355,2006-08-31,no_gikaidayori_heading_found
357,2006-10-31,no_gikaidayori_heading_found
360,2007-01-31,no_gikaidayori_heading_found
361,2007-02-28,no_gikaidayori_heading_found
364,2007-05-31,no_gikaidayori_heading_found
366,2007-07-31,no_gikaidayori_heading_found
367,2007-08-31,no_gikaidayori_heading_found
369,2007-10-31,no_gikaidayori_heading_found
372,2008-01-31,no_gikaidayori_heading_found
373,2008-02-29,no_gikaidayori_heading_found
376,2008-05-31,no_gikaidayori_heading_found
379,2008-08-31,no_gikaidayori_heading_found
381,2008-10-31,no_gikaidayori_heading_found
382,2008-11-30,no_gikaidayori_heading_found
384,2009-01-31,no_gikaidayori_heading_found
385,2009-02-28,no_gikaidayori_heading_found
387,2009-04-30,no_gikaidayori_heading_found
388,2009-05-31,no_gikaidayori_heading_found
390,2009-07-31,no_gikaidayori_heading_found
391,2009-08-31,no_gikaidayori_heading_found
399,2010-04-30,no_gikaidayori_heading_found
400,2010-05-31,no_gikaidayori_heading_found
401,2010-06-30,no_gikaidayori_heading_found
403,2010-08-31,no_gikaidayori_heading_found
404,2010-09-30,no_gikaidayori_heading_found
408,2011-01-31,no_gikaidayori_heading_found
411,2011-04-30,no_gikaidayori_heading_found
412,2011-05-31,no_gikaidayori_heading_found
414,2011-07-31,no_gikaidayori_heading_found
416,2011-09-30,no_gikaidayori_heading_found
421,2012-02-29,no_gikaidayori_heading_found
422,2012-03-31,no_gikaidayori_heading_found
424,2012-05-31,no_gikaidayori_heading_found
427,2012-08-31,no_gikaidayori_heading_found
428,2012-09-30,no_gikaidayori_heading_found
430,2012-11-30,no_gikaidayori_heading_found
436,2013-06-01,no_gikaidayori_heading_found
437,2013-07-01,no_gikaidayori_heading_found
439,2013-09-01,no_gikaidayori_heading_found
440,2013-10-01,no_gikaidayori_heading_found
442,2013-12-01,no_gikaidayori_heading_found
443,2014-01-01,no_gikaidayori_heading_found
445,2014-03-01,no_gikaidayori_heading_found
446,2014-04-01,no_gikaidayori_heading_found
448,2014-06-01,no_gikaidayori_heading_found
449,2014-07-01,no_gikaidayori_heading_found
454,2014-12-01,no_gikaidayori_heading_found
455,2015-01-01,no_gikaidayori_heading_found
457,2015-03-01,no_gikaidayori_heading_found
458,2015-04-01,no_gikaidayori_heading_found
460,2015-06-18,no_gikaidayori_heading_found
461,2015-07-01,no_gikaidayori_heading_found
463,2015-09-01,no_gikaidayori_heading_found
464,2015-10-01,no_gikaidayori_heading_found
466,2015-12-01,no_gikaidayori_heading_found
467,2016-01-01,no_gikaidayori_heading_found
469,2016-03-25,no_gikaidayori_heading_found
470,2016-04-15,no_gikaidayori_heading_found
473,2016-07-01,no_gikaidayori_heading_found
475,2016-09-01,no_gikaidayori_heading_found
476,2016-10-01,no_gikaidayori_heading_found
478,2016-12-02,no_gikaidayori_heading_found
479,2017-01-01,no_gikaidayori_heading_found
481,2017-03-01,no_gikaidayori_heading_found
485,2017-07-12,no_gikaidayori_heading_found
487,2017-09-26,no_gikaidayori_heading_found
490,2017-12-04,no_gikaidayori_heading_found
492,2018-03-01,no_gikaidayori_heading_found
493,2018-03-01,no_gikaidayori_heading_found
495,2018-05-01,no_gikaidayori_heading_found
496,2018-06-01,no_gikaidayori_heading_found
498,2018-08-01,no_gikaidayori_heading_found
499,2018-09-01,no_gikaidayori_heading_found
501,2018-11-01,no_gikaidayori_heading_found
504,2019-02-01,no_gikaidayori_heading_found
505,2019-03-01,no_gikaidayori_heading_found
507,2019-05-01,no_gikaidayori_heading_found
508,2019-06-01,no_gikaidayori_heading_found
510,2019-08-01,no_gikaidayori_heading_found
511,2019-09-01,no_gikaidayori_heading_found
513,2019-11-01,no_gikaidayori_heading_found
514,2019-12-01,no_gikaidayori_heading_found
516,2020-02-01,no_gikaidayori_heading_found
519,2020-05-01,no_gikaidayori_heading_found
525,2020-11-01,no_gikaidayori_heading_found
526,2020-12-01,no_gikaidayori_heading_found
529,2021-03-01,no_gikaidayori_heading_found
531,2021-05-01,no_gikaidayori_heading_found
532,2021-06-01,no_gikaidayori_heading_found
534,2021-08-02,no_gikaidayori_heading_found
535,2021-09-01,no_gikaidayori_heading_found
537,2021-11-01,no_gikaidayori_heading_found
538,2021-12-01,no_gikaidayori_heading_found
540,2022-02-01,no_gikaidayori_heading_found
541,2022-03-01,no_gikaidayori_heading_found
543,2022-05-01,no_gikaidayori_heading_found
544,2022-06-03,no_gikaidayori_heading_found
546,2022-08-01,no_gikaidayori_heading_found
547,2022-09-05,no_gikaidayori_heading_found
549,2022-11-01,no_gikaidayori_heading_found
550,2022-12-01,no_gikaidayori_heading_found
551,2023-01-01,no_gikaidayori_heading_found
552,2023-02-01,no_gikaidayori_heading_found
553,2023-03-01,no_gikaidayori_heading_found
554,2023-04-01,no_gikaidayori_heading_found
555,2023-05-01,no_gikaidayori_heading_found
556,2023-06-01,no_gikaidayori_heading_found
558,2023-08-01,no_gikaidayori_heading_found
559,2023-09-04,no_gikaidayori_heading_found
561,2023-11-01,no_gikaidayori_heading_found
562,2023-12-01,no_gikaidayori_heading_found
564,2024-02-01,no_gikaidayori_heading_found
565,2024-03-01,no_gikaidayori_heading_found
567,2024-05-01,no_gikaidayori_heading_found
568,2024-06-03,no_gikaidayori_heading_found
570,2024-08-01,no_gikaidayori_heading_found
571,2024-09-02,no_gikaidayori_heading_found
572,2024-10-01,no_gikaidayori_heading_found
573,2024-11-01,no_gikaidayori_heading_found
574,2024-12-04,no_gikaidayori_heading_found
576,2025-02-03,no_gikaidayori_heading_found
577,2025-03-03,no_gikaidayori_heading_found
578,2025-04-01,no_gikaidayori_heading_found
579,2025-05-01,no_gikaidayori_heading_found
580,2025-06-03,no_gikaidayori_heading_found
582,2025-08-01,no_gikaidayori_heading_found
583,2025-09-01,no_gikaidayori_heading_found
585,2025-11-01,no_gikaidayori_heading_found
586,2025-12-01,no_gikaidayori_heading_found
588,2026-02-01,no_gikaidayori_heading_found
589,2026-03-01,no_gikaidayori_heading_found
591,2026-05-01,no_gikaidayori_heading_found
592,2026-06-01,no_gikaidayori_heading_found
593,2026-07-07,no_gikaidayori_heading_found
